,1,2,3,4,5,hand_orientation,letter
0,1,bent,bent,bent,bent,vertical,a
1,1,bent,bent,bent,bent,vertical,a
2,1,bent,bent,closed,closed,vertical,a
3,1,bent,bent,bent,bent,vertical,a
4,1,bent,bent,bent,bent,vertical,a
5,1,bent,bent,bent,bent,vertical,a
6,1,bent,bent,closed,bent,vertical,a
7,1,bent,bent,closed,bent,vertical,a
8,1,bent,closed,closed,closed,vertical,a
9,1,bent,bent,bent,bent,vertical,a
10,1,bent,bent,bent,bent,vertical,a
11,1,bent,bent,bent,bent,vertical,a
12,1,bent,bent,bent,bent,vertical,a
13,1,bent,bent,bent,bent,vertical,a
14,1,closed,closed,closed,closed,vertical,a
15,1,bent,closed,closed,closed,vertical,a
16,1,bent,closed,closed,closed,vertical,a
17,1,bent,closed,closed,closed,vertical,a
18,1,bent,closed,closed,bent,vertical,a
19,1,bent,bent,closed,bent,vertical,a
20,1,bent,bent,closed,bent,vertical,a
21,1,bent,bent,bent,bent,vertical,a
22,1,bent,bent,bent,bent,vertical,a
23,1,bent,bent,bent,bent,vertical,a
24,1,straight,straight,straight,straight,vertical,a
25,1,straight,straight,straight,straight,vertical,a
26,1,bent,closed,closed,closed,vertical,a
27,1,bent,closed,closed,closed,vertical,a
28,1,bent,bent,bent,bent,vertical,a
29,1,bent,bent,bent,bent,vertical,a
30,1,bent,closed,bent,bent,vertical,a
31,1,bent,closed,closed,closed,vertical,a
32,1,bent,closed,closed,closed,vertical,a
33,1,bent,bent,bent,bent,vertical,a
34,1,bent,bent,bent,bent,vertical,a
35,1,bent,bent,closed,bent,vertical,a
36,1,closed,closed,closed,closed,vertical,a
37,2,bent,bent,closed,closed,vertical,a
38,2,bent,bent,closed,bent,vertical,a
39,1,bent,bent,bent,bent,vertical,a
40,1,bent,bent,bent,bent,vertical,a
41,1,bent,bent,bent,bent,vertical,a
42,1,bent,bent,bent,bent,vertical,a
43,1,bent,bent,bent,bent,vertical,a
44,1,bent,bent,bent,bent,vertical,a
45,1,bent,bent,bent,bent,vertical,a
46,1,bent,bent,bent,bent,vertical,a
47,1,bent,bent,bent,bent,vertical,a
48,1,bent,bent,bent,bent,vertical,a
49,1,bent,bent,closed,closed,vertical,a
50,1,bent,bent,bent,bent,vertical,a
51,1,bent,closed,closed,closed,vertical,a
52,1,bent,closed,closed,closed,vertical,a
53,1,bent,closed,closed,closed,vertical,a
54,1,bent,bent,bent,bent,vertical,a
55,1,bent,closed,closed,closed,vertical,a
56,1,bent,closed,closed,closed,vertical,a
57,1,bent,bent,bent,bent,vertical,a
58,1,bent,bent,bent,bent,vertical,a
59,1,bent,bent,bent,bent,vertical,a
60,1,bent,bent,bent,bent,vertical,a
61,1,bent,bent,bent,bent,vertical,a
62,3,straight,straight,straight,straight,vertical,b
63,3,straight,straight,straight,straight,vertical,b
64,3,straight,straight,straight,straight,vertical,b
65,4,straight,straight,straight,straight,vertical,b
66,4,straight,straight,straight,straight,vertical,b
67,4,straight,straight,straight,straight,vertical,b
68,2,straight,straight,straight,straight,vertical,b
69,1,straight,straight,straight,straight,vertical,b
70,1,straight,straight,straight,straight,vertical,b
71,2,straight,straight,straight,straight,vertical,b
72,3,straight,straight,straight,straight,vertical,b
73,3,straight,straight,straight,straight,vertical,b
74,3,straight,straight,straight,straight,vertical,b
75,2,straight,straight,straight,straight,vertical,b
76,1,straight,straight,straight,straight,vertical,b
77,1,straight,straight,straight,straight,vertical,b
78,1,straight,straight,straight,straight,vertical,b
79,1,straight,straight,straight,straight,vertical,b
80,2,straight,straight,straight,straight,vertical,b
81,1,straight,straight,straight,straight,vertical,b
82,2,straight,straight,straight,straight,vertical,b
83,2,straight,straight,straight,straight,vertical,b
84,2,straight,straight,straight,straight,vertical,b
85,1,straight,straight,straight,straight,vertical,b
86,1,straight,straight,straight,straight,vertical,b
87,1,straight,straight,straight,straight,vertical,b
88,3,straight,straight,straight,straight,vertical,b
89,3,straight,straight,straight,straight,vertical,b
90,3,straight,straight,straight,straight,vertical,b
91,3,straight,straight,straight,straight,vertical,b
